formula,disorder
O10000Br30000Ag3950W10000,1
B10000Si2338Y6250,1
Ge10000Ba1818,1
Li10000O22222Y10000Zr1111,1
Fe10000Te15152,1
H10000C1905N2857O5476Co476Np476,0
Pd10000Sn29412Au20294,1
P10000Ni15000U5000,1
N10000O132857Na28571Ca28571Ta42857,1
H10000C4545N909O5455Na455Fe455,1
O10000Ni2000Sr4400Ru2000La1600,1
O10000Nb3810,0
C10000Mo5000Tm5000,0
O10000Co3392Sr3890Ru498,1
Li10000O60000Sr30000Ir10000,0
O10000Ti1667Cu1667Yb3333,1
Li10000Si10000Y10000,0
Mg10000Ni40000La5000Nd5000,1
Be10000Os1546,1
O10000Br3333In3333Ba6667,0
Co10000Ge10000Lu10000,0
Mg10000Ir1379,0
Mn10000Zr1667In833Sn9167,1
O10000Fe4167Bi2050,1
H10000C30000N30000Cl90000Sb10000,0
C10000O10000Ge1000Br2000W2000,0
O10000Na2857P2857Pd1429,0
O10000Ca4000Mn1280Fe2720,1
S10000La6250Eu1250,1
Y10000Pr15000,1
O10000Mg316Al6154Mn413,1
H10000O7778Na3333Al741,0
Li10000O40000Al10000Cr5000Sb5000,1
O10000Cu3268Ba4357Gd1089,1
Ga10000Rb1585In1094,1
Si10000Sb11429La35714,1
Ti10000Co20000Ga10000,0
H10000N13333O3333S13333Cl16667Sn3333,0
Si10000Co7500Hf5000,0
C10000Sm2500Dy2500,1
H10000C25000N30000O10000Fe5000Rb10000,0
O10000Cl2000Ni3000Se4000,0
Al10000Ge62500Er31250,1
O10000Mg1760Al888Si2Ti10V5Cr3875Mn15Fe922Ni10,1
Zn10000Ba20000,0
H10000Li1681B8850O90177F1268Na2183Al21534Si17463K9Ca65Ti115Mn3422,1
O10000Ca1438Cu2212Sr1549Bi2544,1
Mn10000In5873Tm7937,1
Li10000F60000Al10000Sr9400Ba600,1
Si10000S162602Cu81301Zn40650Sn30650,1
Si10000Ni16667Tb3333,0
H10000F14000K4000,0
Cu10000Ga14790Se47904In14731,1
H10000O12209Si407S581Cu581Zn4070,1
V10000Pt10000,0
Cu10000In10000Te20500,1
Na10000S15000Se5000In10000,1
O10000Na188Al1250Si3750K1038Cs25,1
Ga10000Lu3333,0
Se10000Te5625U7812,1
Sn10000Hf12500,0
O10000Na167Mn3333Sr1500Pr1667,1
O10000Ga333Sr1000Nb3000Ba1000,1
O10000Cl1333Cu4667Ba6000,0
Ge10000Se70000Ag7200Dy30000,1
O10000Mn1667Sb1667Ba2667La667,1
S10000Se14000Ba16000Hg8000,1
O10000Ca2650U2350,1
Li10000O16000Cr80Mn3040Co880Ni2080,1
O10000Fe2857Cs11429,0
Fe10000I85000Pr60000,0
H10000Li3926B10225O104294F1186Na1145Mg1840Al20961Si20450K41Ca1902Ti859Mn1329Fe1984Zn20,1
O10000Fe1667Sr3083Mo1667Dy250,1
O10000Si2857Ca2857Co143Zn1286,1
Sn10000Yb10000Hg10000,0
C10000Co30000Nb30000,0
C10000Mn30000Sn10000,0
Ni10000Cu5000Sn5000,0
O10000K1000V4000,2
Cu10000Rb5000Te20000Ta5000,0
H10000O233810F4286Na14000Mg17143Al4762P57143K143Ca2810Mn16143Fe31476Sr4429Ba952Pb143,1
O10000Co3333Sr167La3167,1
Li10000Pd70000,0
O10000Mg271Si2857Ca429Fe1157Ba2429,1
O10000K40Ti5000,1
H10000O30000P5000Cl2500V5000Ba3125,0
Co10000Ge20000La10000,0
Al10000Sm2500,0
O10000Mn3333Ba667Pr2333,1
H10000O15000Mg1250P2500Zr1250,0
O10000Mg50Cu5000Ga4950,1
Li10000O20000Ni6667Nb3333,1
P10000S32500V5000,0
H10000C2248O127632Na1069Mg250P27722Ca47343,1
P10000Nd10000Ir10000,0
O10000K1667As6667I1667,0
O10000F10000Ni3333Cs3333W3333,1
Mg10000Ge12000La8000,0
Ag10000Te30000I10000,0
S10000Pb7910,1
C10000N353U5882,1
B10000Si13100Fe126900Nd20000,1
As10000Se1111Sn11111,1
O10000Ir3092Pb3092,1
O10000Ca2500Fe1667Mo1167La833W500,1
O10000Na2543Mg2671Al186Si2857,1
O10000Cu2434La4869,1
O10000Dy2500Ta2500,0
S10000Se1429Sn714I2857,1
Ag10000Ho10000,0
Mn10000Ga4925,1
O10000Ce5319,1
Al10000S60606Ta30303,1
C10000O30000F2500Na7500La5000,1
H10000O12500Cl8750K5000Np3750,0
O10000Na2125Al1969Si3031,1
Li10000O31596Ti12117Cr1580,1
Na10000S20000Sn10000,0
O10000P2321Ca3211Bi658,1
O10000K833V2500Mn2500Cu833,0
Mg10000Cu45000Gd5000,0
Si10000Ir6000U4000,0
O10000Cu2500Ba5000Hg2500,0
O10000Mg362Si2500Mn282Fe4355,1
H10000N645O59347S14837K21588,1
Al10000Fe56667Zr33333,1
Ga10000Pt16667,0
O10000Al4540Si1595,1
Rh10000In15105Ho12552,1
Li10000O160000Na3333P40000Mn13333Fe26667,1
V10000Ga20000Er5000,0
Mg10000Zn69365La21645,1
O10000Ti2009Tm3988,1
O10000Mn3277La2185Pb560,1
Li10000O16234Mn5000Ni1245,1
Al10000V2500Nb27500,1
Ge10000Nd833Pt3333,0
B10000Sc4082Ni29439,1
O10000Na1429P2857In1429,0
Se10000Cm5000,0
H10000B2500Rb833Sm833,0
O10000K5000Mo2500,0
S10000Zr2000Pr4000,0
O10000Na106Mg12Ca981Ti369Mn612Fe56Zr2581Sb856Hf50,1
O10000Al1250Fe3750Co2500,1
O10000Ca1111Ba3333Ir2222,0
Li10000O120000Fe10000Rb20000Mo30000,0
Ti10000Fe161429Er14286,1
Ti10000Ge3333,0
O10000Na1225Ti3000Fe2000,1
O10000I3333Sm1111,0
O10000F1000Si1000Se2000Er3000,0
H10000C2727N909O11818P2727Ga2727,1
O10000K553Mn3333Sr557La2223,1
O10000Sb1429Gd4286,0
H10000O80000P20000K30000Ca10000,0
C10000La15385Os9231,1
C10000Fe55000Co1667Sm6667,1
Al10000S20000Mn5000,0
C10000Fe5000U5000,0
Fe10000Ga8889Tb2222,1
Cr10000Ge10000Gd1667,0
O10000Mo833Ag1667Te3333,0
H10000O11670S1309K1667Cu833Se358,1
O10000P2000K2000Ti1940Zr60,1
O10000Ti330Sr2437Zr3003Ba897,1
Cu10000Pd6667Eu3333,1
Se10000Rb2000Sb6000,0
P10000Zn1419Ag2331,1
Li10000Al10000Se40000Ba20000,0
Pr10000Au10000,0
O10000Ti833Co2500Ho3333,1
F10000Zr2000Gd667,1
O10000P2500Cl417K417Fe1667Cs1250Bi833,0
Ni10000Se40000Ta55000,0
Cl10000Cs3333Pu1667,0
O10000Ag2704Sb3638,1
Al10000Ni6667Y3333,0
Br10000Tl6000Pb2000,0
O10000Cu4286Ba2786Sm1500,1
C10000O10000Co3500As500,0
O10000P2000Cr2000Ni2000,1
Si10000Ir10000Th10000,1
Cl10000Zr4000,0
H10000O65000Na20000P20000,0
Si10000Sr1360Ba3640,1
Al10000Fe3333Sm1111,1
B10000Fe10360Co129640Nd20000,1
O10000La1429Ta1429Bi2857,1
B10000O30000Ca10000Rb10000,0
Al10000Fe17732Nd3263,1
Si10000Fe58000Ho8000,1
O10000Co2500Sb5000,0
O10000Cu10000Tl5000,0
O10000Ca118Cu4674Y1349Ba2700,1
Ge10000Se40000Sr1920Pb18080,1
O10000Co43Cu4286Y1443Ba2886,1
Cl10000Se4550Zr1667Te8783,1
S10000Ge3333Sn3333,0
Cu10000Pd7849Sn10753,1
F10000K1073Gd2976,1
Li10000O47980F2020P10000V10000,1
Fe10000Ir638,1
C10000N10000S10000Mn5000,0
Li10000N16857O571F286Si8571Pr2571,1
K10000Sn20000Au40000,0
Na10000Cl19853K9853,1
O10000Ti933Fe2400Pb933Bi2400,1
O10000Mg312Rb625Mo2500Th938,0
B10000O33333Cd13333Gd3333,0
O10000F2500Al2500Sr7500,0
O10000Zn2500Mo2500,0
Si10000Re5556U5556,0
Zr10000Te15038,1
Fe10000Ta5000,0
Co10000As9500Sb500,1
O10000Si4000K2000Ca1000,0
Se10000Sn33333Te23333,1
H10000O10000Zn1875As1250,0
Si10000Sc3971Co13822,1
O10000Si3681,0
C10000Rh20000W20000,1
O10000Cu1250Nd1250W2500,0
H10000O26667Na3333S6667Zn6667,0
O10000Si1088Fe6412,1
B10000O18750Na3750Gd1250,0
H10000O50000Fe5000Ni7500Se15000,1
O10000Ca3210Cu4013Ba1605Hg641,1
O10000Na2367S2222Cl556Cu2428,1
B10000O30000Cl2500Eu15000,0
Ni10000Y4780,1
O10000Mg2375Al1667Si2375Sc250,1
H10000B7500O77500Na1450Mg2000Al14225Si15000Ca1050Fe6275,1
Al10000Ru5000,0
Se10000Nb3750Mo1250,1
Pd10000Cm3333,0
N10000O20000Mn2600Zn7400Ta10000,1
H10000O7857S714Co629Cu86,1
F10000K4286Mn2857,0
Al10000Si28462Cr64103,1
O10000V4000Cu860Ag900,1
Rh10000Te24390,1
Mg10000As40000,0
Li10000O46154Na1538Fe3846Mo11538,1
Te10000La1050Tl15617,1
Mg10000Si6250Mn2500,1
Li10000B10000O75000P20000Cs10000,0
O10000Co473Cu3642Y1372Ba2743,1
H10000Ni4348In2174Pr4348,1
Ir10000Bi40000,0
N10000Na5000S5000Cl5000Zr10000,1
Ni10000Cu870,1
Mg10000Si10000Sr10000,0
O10000Si3333Ti33Zr1078Ba1111,1
O10000P2500Ca3214Y357,1
O10000Si2515S2Ca2Fe2Ni2Y2Zr2445Hf30Th2U2,1
Pd10000In20000Eu10000,0
Cu10000Sn10472Au10975,1
Mg10000Eu20899Pt21348,1
O10000Mn97576Ta84242,1
Se10000Te23333Pb33333,1
Rb10000Te10000,0
Li10000O1000000Na153333K153333Ti20000Zr6667Nb306667Ba6667Bi10000,1
H10000C365O9193Mg2371Cr728,1
O10000Cu312Dy1562W2500,1
O10000F2500Na2500Si1250U2500,0
Ca10000Ga23640,1
Li10000O20000In10000,2
Ca10000Cd5000Tl5000,1
O10000K225Cr5000,1
C10000Nb5000Mo5000,1
O10000Ca1583Nb3317La83,1
Fe10000Gd3333,0
O10000Fe5000Ni2000Cu500,1
S10000Co2000U4000,0
S10000V498Cr7002,1
Ni10000Te40000Ta40000,0
F10000Co2500Ba2500,0
N10000Ni40000,0
O10000Al667Fe3000Bi3000,1
Zn10000Rh10000Dy10000,0
O10000Al2500Si2500K2425,1
O10000Mn667Nb2667Ba1333La667,1
Al10000Sr11976Au43892,1
Al10000Hf10000Pt10000,0
Cd10000Gd5000,0
Mn10000Ni8519Nd3704,1
B10000N20000Na3333Ba13333,0
Al10000Ca6764In1979Sb35757Yb23033,1
P10000S40000K30000,0
N10000Zn4750Ga500Ge4750,1
Li10000Ge1875Se10000Sn625,1
B10000O30000Cd5000Hf5000,0
O10000Sr4000Rh3000,1
H10000C15000N15000O5000K5000Ni2500Hg2500,0
O10000Br5000Cd5000Bi5000,1
S10000Cu4810Sn2500Hg2440,1
Al10000Ca1173Hf391Au2901,1
C10000N10000O13333K10000Cr3333,0
O10000Mg625Cr625Fe4375Co1875,1
Ge10000In5333Ba2667,1
S10000Ga1500Ge3500Rb1500,1
B10000C5000Rh10000Dy5000,0
Al10000Cu2000La3333Au1333,1
F10000Na1500Ca1500Ce1833,1
O10000Ti1665Nb1668In1668,1
O10000Cr5000Cu1375Cd1125,1
H10000C2500N5000S2500Co1250Br2500,0
O10000K1000W3333,1
H10000Li10000F20000,0
B10000O59800Si20000K6600Cs2800,1
In10000Sn3333,1
P10000S30000Ag10000Cd5000,0
Zn10000Hg3333,1
Cu10000Pd6667Pr3333,1
Al10000Ga4289Y3641,1
Cu10000In10000Tm10000,0
P10000La2000,0
H10000O402857F25714Na15000Mg60875Al10714Si132143K10482Ca22429Fe28411,1
H10000O50000Cu20000As10000,0
N10000Ba6667Ta3333,0
P10000Pd150000Bi40000,1
O10000K3133Ta3333,1
Cd10000I20000,0
H10000N10000S70000,0
P10000K5000Rh10000,0
O10000F2500Na5000P2500Cd2500,0
O10000Rb1667W2667,1
Li10000F220000Zr50000Tl10000,1
P10000S30000Rb5000La5000,0
Ge10000Eu2500Gd10000,1
H10000O90000V18300Mn4400Fe5600As1700Sr2000Ba18000,1
O10000Ca3133Zr3333Er33Yb167,1
P10000S40000Bi10000,2
O10000Al4615Ge1538,1
H10000O5000F1250K1250,0
Ge10000As10000Mo10000,1
Se10000Nb4500Ir500,1
Pr10000Pt20000,0
B10000O35000Ba5095Eu925Bi8980,1
N10000O20000Na5000Ag5000,2
B10000Fe140000Gd20000,0
O10000Ag15000Ba2500,0
P10000Am10000,0
Rh10000Ce5000,0
Cl10000K4000Bi2000,0
Ni10000Ru10000Sb60000,1
Se10000Ag1250Yb6900,1
Ca10000Sn30000,0
O10000Co3344Sr207La3137,1
H10000O10000Mg1603Cl3333Cu5063,1
O10000Na333Ti3333Ba2667La267Eu67,1
O10000Mo1667Rh3333,0
H10000Li625B2500Mn625Rb625,1
Li10000O25306Co20408,1
O10000Mn750Sr5000Ru1750,1
V10000Fe101111Y9259,1
O10000F30000S3333As3333Xe6667,0
O10000Ca3750Ti1250Fe2500,1
O10000Ti3250Sn83Ba3333,1
O10000Ca141Cu4243Ba2687Pr1414,1
Cu10000In5000Tm5000,0
Al10000Ti4444Zn3333,1
H10000O10000Br1667Yb556,1
Li10000O80000Mn7500Fe42500,1
O10000K100Fe1667Sr3233Mo1667,1
Ti10000Ni300000Y90000,1
F10000Cs1429Yb2857,0
S10000Fe500Cd9500,1
Si10000S70000Ag10000Nd30000,0
Li10000Br20000Rb10000,0
As10000Sr5000Sn10000,0
C10000O10000Fe3333Te2222,0
Rh10000Pb6667,1
O10000Yb2333Bi4333,1
O10000Sr700Nb2222Pb422Bi2233,1
Al10000S42424Gd18182,1
O10000Ti5000Cs844,1
S10000Tb5000Yb2500,1
S10000K1643Mo8571,1
H10000B10000N2500O15000F2500,0
O10000Ca1667Mn3333La1333Eu333,1
Mg10000Sm10000Tl10000,0
Al10000Fe28095Tb19048,1
B10000Mg5000Ni33500,0
Ga10000Sm3333Pt3333,1
B10000Si4286Ho7143,1
Ca10000Ag10000Bi10000,0
Ni10000Sn37037La15873,1
Se10000Nd6667,1
H10000N4000O3333Cl1333Cr667,1
Si10000Ba1441,1
V10000Zr1500Nb1000Hf2500,1
O10000Y633Ta2227W1020,1
O10000V1250Se2500Gd1250,0
F10000Sc3333,0
F10000Ni2222Cs1111Ba2222,1
Li10000O98039Na98Si39216K3199Sn6235,1
Be10000O160000Mg17300Al80000Fe8850Zn3220Sn630,1
Sc10000In10000Pt7240,1
H10000O5000F5000Cu2500,0
H10000B1250N1667Y417,0
O10000Na2833Mg1083Mo2500,1
H10000O60000Al16200Si5600K4700Ge7800,1
Li10000B10000O30000Sr8620Pb1380,1
B10000O20000Mn100Zn1900Gd2000,1
O10000Cu3472Sr3472Nd1736,1
O10000As4000,0
O10000Mo2500Ag1250Yb1250,1
O10000Ti883Nb5783Ba1667,1
B10000O30000Na8400Eu7200,1
F10000Al314Pb4921,1
N10000O60000Te10000Gd10000,0
Li10000B5000S15000Cs5000,0
Li10000S20000Fe5000Sn5000,0
Si10000P3333Nb16667,0
P10000La1429,0
N10000O30000I10000Hg10000,0
O10000Ni2688Ba1344La4032,1
Be10000La385Ce385,1
Li10000P1894S8627Cl2737Ca227,1
O10000Nb1429Bi4286,1
Si10000Ni10000Hf10000,0
O10000Na144Mg1295Nb2158Bi2158,1
O10000Co3482Ba1741Pr1741,1
Fe10000Ru582,1
Al10000Cl40000Br10000Ru5000Bi35000,0
O10000Ni175Cu2325Sr375La4625,1
O10000Y4167U1667,1
O10000Na556Nb3889,0
Ni10000Se33333Pd6667,1
Si10000Ni83333Ga198333Tb27917,1
O10000Al2500Si2500K2708Ag417I625,1
O10000Al1540Ca1190Fe4413,1
N10000Si108690Mn462738,1
O10000Cr900Cu2045Sr4090Hg1145,1
O10000Sr3333Er1667Re1667,0
O10000F2552Mn2092Ga2092Sr4184,1
N10000O20000Ni1667Pb3333,0
S10000Ga12500Se15000Cd6250,1
O10000Na1722K1520Sr17Zr167Nb3072Sb95Bi75,1
Si10000Co239928Mo10000La79976Nd19994,1
O10000Ca5000Cu3333Sr1667,1
Ni10000Ge26667Sm13333,1
O10000Al4000Cl4000Sr6000,0
Mn10000Co5000Sb5000,0
O10000S10000Th10000,0
Mn10000Se20000Sn5000,0
H10000B10000O101100Na1833Al23233Si19533Fe6333,1
S10000Fe32157Se29216Tl19608,1
C10000O30000F6000K5400Pb10300,1
B10000Mn40000Fe100000Y20000,1
O10000Cl70000Mo10000Te10000,0
O10000Ti2857Ga1429Gd1429,1
S10000Rb2500Ag5000Sb2500,0
O10000Y126Nb251Mo1807W460Pb2387,1
H10000O60000Mg15000Al7200Ge12800Ba5150,1
Ce10000Pt50000,0
La10000Pt20000,0
As10000Y10000Pt10000,0
O10000Mo1111Te2222Th1111,0
Cd10000Gd10000,0
Cl10000Rb1667Sb1667,0
O10000F1818Si2727Er3636,0
B10000Ca4000Os6000,0
Ni10000Ga9231Er3846,1
O10000Te5000Nd10000,0
S10000Co1670Ni13330Sn10000,1
H10000O11667P3333U1667,0
H10000O10000Tb3333,0
O10000Ru1429La2857Tb1429,1
Al10000Zr1667Mo1667,1
P10000Cu7500Se10000I7500,1
Fe10000Ga10000Ge10000,1
Ti10000Mn4286Ge11905,1
O10000Co4444Y2222Ba2222,1
O10000Cu4286Y1429Ba2643La214,1
O10000Mg2500P2917K417,0
Sn10000Dy5000,0
Al10000S70000Cr10000La30000,0
O10000Cr2450Fe4962Cu100,1
O10000Ca767Mn3333Sr333La2233,1
Co10000Ge15000Tb15000,0
O10000Ru2222Ba3333Bi1111,0
Mg10000Ge7500Ba2500,0
O10000Ge1818Rb2727U1818,0
Nd10000Pt20000,0
C10000Si49259Er88148,1
Cu10000Pr1667,0
Li10000B14000O28000Rb4000,0
Ga10000Ru10000U10000,0
O10000Co3057Zn2657Y1429Ba1429,1
B10000V2500Ta2500,1
Fe10000Se20000Cs15000,0
O10000Cu4280Sr1427Y1427Ba1427Pb1427,1
Si10000Sc10000Tb10000,1
Li10000Al19310Cu3448,1
O10000Al453Fe2780Sr3233La1078,1
O10000Cl5000Cu10000As10000La12500,0
H10000C13333N13333O5000Rb6667Pt3333,1
O10000P2632Mo1579Cs789,0
O10000Zn2325Eu175W2500,1
Se10000Cd2500In5000,2
H10000C3571N1071O5714Al1071P1429,0
Be10000O140000Ga30000Ge20000Sm30000,1
Li10000O80000V22400Fe27600,1
Co10000Tb17143,0
Ca10000Cd11236Sb22472Yb12472,1
O10000Sr3723La1512Ir1357,1
Na10000As10000Sn5000,0
H10000O69770F1494Na2207Mg46Al368Si18023K3908Ca391Ti1701Mn1034Fe14805Zn46Zr368Nb1011Sn1425Cs69Ta46Pb23,1
Li10000C4479O83333Ti35833,1
F10000Zr1818Pr909,0
Si10000P984Fe20820Ni984,1
Co10000Ga3333Nb6667,1
O10000S3333Rb3333,0
H10000B3333O40000P10000K10000,0
Mn10000Ga333Ge9667Er1667,1
C10000Al20000Fe100000Co50000Sm20000,1
B10000Rh15000Lu5000,0
O10000Al2000Ge2000Er2000,1
O10000V2500Ba3750,0
S10000Cr6250Se2500Cd3125,1
Si10000Ni6714La15306,1
Ag10000Cd1667In13333Te26667,1
Tb10000Ir3333,0
Co10000Ge25000Tm12500,0
Na10000P15000Ge15000,0
O10000Fe1933Co1400La3333,1
O10000Na1429P2857Fe1429,2
O10000Ti3000Zr333Ba3000Pb333,1
O10000V3333La3000,1
P10000S10000Dy10000,0
Sn10000Pr2308Ir3077,0
Ga10000As10000Se2500Cd2500,1
O10000Mg2500Si2500Co2500,1
Te10000U2970,1
O10000Ca429Cu2857La5286,1
Cu10000Sb10000Ce5000,0
Al10000Si30000Ti66667,1
Ag10000Tm10000Pb10000,0
O10000Ni1667Sb3333,0
O10000Ti333Ni3000La3333,1
O10000Mo2500Eu2400,1
C10000V97000Fe1103000Y100000,1
Al10000Mn20707Ni2146Sn8308La27778,1
Se10000Eu2000U4000,1
Li10000Ag5000Sb5000,2
Rh10000In10000Pr10000,0
O10000F833Na396Si133P2367Ca3246Ce525,1
O10000Mn1000Ga2333Bi3333,1
N10000Br8000I2000Ba20000,1
Sb10000Tl823333,1
O10000Mn3631Sr3268La363,1
O10000F5040K4000Ta4333,1
O10000V1250Ag1250I2500,0
S10000Ni2000Ta4000,0
O10000K12857Ni2857,0
Be10000B16316Ti13158,1
P10000Cr10000Ni10000,0
O10000Mn1667Co1667Eu3333,1
Co10000Ni48824U29412,1
Li10000O40000Co20000,0
S10000Mo7895In54,1
H10000Be3226C3226O16419Na2903Ca290,1
O10000Cl2222Ru1111Ba5556Ta1111,1
O10000P2500Rb3750La1250,0
H10000O25000Na5000Co2500Se5000,0
O10000Mo6429In1786,0
H10000O22222Ge7778Rb3333,1
O10000Fe1792Ni1792Sr2688Y896,1
Fe10000Sb8197,1
Na10000Cl99800K89800,1
Al10000Ge15000U15000,1
Si10000Cu10000Lu10000,0
O10000Ca517Cu1667Sr3333Re1150,1
Ga10000Pd20000La10000,0
H10000C3333N1429Cl2857Te476,0
H10000O6000Mg595Cl4500Cu2655,1
Li10000O20000Mg5000Hf5000,1
Li10000B10076O30227Al7557Cl2242Br202,1
Sr10000In40000Pt10000,0
O10000Cu2000Ba2000Pr2000Hg1880,1
O10000K1538Mo3077,0
Al10000Fe65000Dy25000,1
O10000Si3333Cd3333,0
